Name,ID,Quote,Description,Quality
The Soul,5.100.335,I am all,Grants two   Soul Hearts. Isaac gains a pulsing aura that repels enemies and projectiles.,3
The Virus,5.100.13,Poison touch + speed up,Isaac poisons enemies on contact.  -0.1 speed.  +0.2 speed.  Poisoned enemies have a chance to drop a black heart when killed.,2
The Wafer,5.100.108,Damage resistance,Most sources of damage that would cause more than one-half heart of damage are reduced to one-half heart instead.,4
There's Options,5.100.249,More options,Two items appear after defeating a Boss. Only one can be taken; the other will disappear.,3
Thunder Thighs,5.100.314,HP up + speed down + you feel stompy,Destroys rocks upon contact with Isaac. Adds one Red Heart container and lowers Speed.,1
Tiny Planet,5.100.233,Orbiting tears + range up,Massively increases Range and grants spectral tears. Tears orbit around Isaac at a fixed distance until they hit the ground.,0
Tooth Picks,5.100.183,Tears + shot speed up,"+0.7 tears, +0.16 shot speed.",3
Torn Photo,5.100.341,Tears + shot speed up,"+0.7 tears, +0.16 shot speed.",3
Tough Love,5.100.150,Tooth shot,"Adds a chance to shoot a tooth instead of a tear, which deals x3.2 Isaac's damage.",3
Transcendence,5.100.20,We all float down here...,Grants flight.,3
Treasure Map,5.100.54,Full visible map,Reveals the map of each floor. It does not identify special rooms and does not reveal the locations of  Secret Rooms /  Super Secret Rooms.,2
Trinity Shield,5.100.243,You feel guarded,Isaac gains a shield that protects him from enemy shots. It aims in the direction Isaac fires from.,2
Virgo,5.100.303,You feel refreshed and protected,Adds a chance to give a shield that nullifies all incoming damage for 10 seconds upon taking damage. Also converts bad pills into good pills.,2
Whore of Babylon,5.100.122,Curse up,Grants +1.5 Damage and +0.3 Speed whenever Isaac has a   Half Red Heart or less.,2
Wire Coat Hanger,5.100.32,Tears up,Increases tears by 0.7.,3
Wooden Spoon,5.100.27,Speed up,Increases speed by 0.3.,1
X-Ray Vision,5.100.76,I've seen everything,Reveals and opens all  Secret Room and  Super Secret Room entrances.,2
8 Inch Nails,5.100.359,Stick it to 'em!,"+1.5 damage. Replaces Isaac's tears with nails, which have increased knockback.",3
Athame,5.100.408,Call to the void,"When Isaac takes damage, a damaging black ring briefly appears around him. This ring can cause enemies to drop   Black Hearts. After Isaac kills an enemy, adds a luck-based chance to spawn a damaging black ring around them.",3
Betrayal,5.100.391,Turn your enemy,"Charms all enemies in the room when Isaac takes damage. Enemies are able to damage each other. If an enemy is damaged by another enemy, they will attack that enemy instead of Isaac.",1
Binky,5.100.438,Tears up,"Grants one   Soul Heart, +0.75 tears and decreases Isaac's size.",3
Black Powder,5.100.420,Spin the black circle!,"Isaac leaves a trail of black powder on the floor. Walking in a circle will spawn a pentagram symbol on the floor, which deals 10 damage per tick to any enemies inside it.",1
Bomber Boy,5.100.353,Cross blast + 5 bombs,+5   Bombs. Isaac's bombs will now explode in a large cross-shaped pattern (roughly 5 bombs explosions wide). This also affects player-spawned   Troll Bombs.,2
Bumbo,5.100.385,Bumbo want coin!,"Spawns a beggar familiar which picks up any nearby coins, leveling up after collecting several coins. At level 2, Bumbo gains a body. At level 3, it begins to fire tears. At level 4, Bumbo follows enemies and gains contact damage.",1
Bursting Sack,5.100.377,Spider love,Spider enemies no longer target or deal contact damage to Isaac.,1
Cambion Conception,5.100.412,Feed them hate,"After taking damage a certain amount of times, a permanent demonic familiar spawns.",2
Car Battery,5.100.356,Active power up,Causes Isaac's activated item to activate twice on each use.,3
Censer,5.100.387,Peace be with you,Spawns a familiar which creates a circular aura that slows down enemies and enemy shots inside.,3
Chaos,5.100.402,!!!,Drops 1-6 random pickups on the floor. Causes items to be chosen from random item pools.,3
Charged Baby,5.100.372,Bbbzzzzzt!,"Spawns a familiar that occasionally drops a   Lil' Battery, gives an active item charge, or petrifies all enemies in the room.",3
Circle of Protection,5.100.423,Protect me from myself,"Surrounds Isaac with a large white halo that occasionally deals Isaac's tear damage to enemies inside it, and can convert enemy shots into friendly homing tears.",2
Continuum,5.100.369,Transcendent tears,Grants spectral tears and increases range. Tears travel through walls and appear at the opposite side of the room.,2
Crack Jacks,5.100.354,HP up. Don't swallow the prize!,Grants one full Red Heart container and drops a random trinket.,2
Crown of Light,5.100.415,The untainted gain power,"+2   Soul Hearts. While Isaac has no empty red hearts, grants 2x damage, increased range, and -0.3 shot speed. Regardless of health, the crown deactivates for the current room when Isaac takes damage.",4
Curse of the Tower,5.100.371,Embrace chaos,"Upon taking damage, spawns six   Troll Bombs around the room, similar to the effect of  XVI - The Tower.",0
Dead Eye,5.100.373,Accuracy brings power!,Isaac's damage increases each time an enemy is hit. Damage is reset upon missing a shot.,3
Deep Pockets,5.100.416,More money!,"Allows Isaac to carry two cards or pills (or a combination of both) at the same time. Increases the coin cap to 999. If a room would otherwise yield no reward, 1-3 coins will spawn.",2
Eden's Blessing,5.100.381,Tears up + your future shines brighter,+0.7 tears up. Grants a random item at the start of the next run.,3
Empty Vessel,5.100.409,I reward an empty vessel,"Grants two   Black Hearts. While Isaac has no red hearts, grants flight and periodically grants an invincibility shield for a few seconds.",2
Epiphora,5.100.368,Intensifying tears,"Shooting in one direction increases Isaac's rate of fire until the cap is reached. As soon as Isaac changes direction or stops shooting, rate of fire is reset to its normal amount.",2
Evil Eye,5.100.410,Eye shot!,Adds a chance to fire a slow-moving eye that fires tears in the same direction as Isaac. The eye is destroyed when it hits an enemy or obstacle.,2
Explosivo,5.100.401,Sticky bomb shot!,Isaac's tears have a chance to stick to enemies and explode.,3
Farting Baby,5.100.404,He farts!,"Spawns a familiar that follows Isaac and blocks enemy shots. If a shot hits Farting Baby, it has a chance to fart, which charms, poisons, or knocks back nearby enemies.",1
Fate's Reward,5.100.361,Your fate beside you,A blue head familiar that will follow Isaac and fire tears copying his tear effects and damage.,2
Friend Zone,5.100.364,Friendly fly,"Spawns a white attack fly that orbits somewhere between  Distant Admiration and  Forever Alone, dealing 45 damage per second.",1
Fruit Cake,5.100.418,Rainbow effects!,Isaac's tears gain a random effect that changes every shot.,2
GB Bug,5.100.405,Double tap glitch,"Spawns a familiar that bounces diagonally around the room, applying a random status effect to enemies it hits and has a chance to re-roll pickups it passes over. Spawns a familiar that follows Isaac. Double tapping the fire button launches it forward, causing it to reroll the first monster or pickup it hits.",1
Glitter Bombs,5.100.432,Prize bombs!,+5   Bombs. Bombs have a chance to drop random pickups or charm enemies when they explode.,2
God's Flesh,5.100.398,Shrink shot!,"Tears have a chance to shrink enemies, making them run away from Isaac. Shrunk enemies can be crushed and killed by walking over them.",1
Head of the Keeper,5.100.429,Penny tears!,Isaac's tears become coins and now have a chance to drop Pennies on the floor upon successfully hitting an enemy.,2
Holy Light,5.100.374,Holy death shot,"Adds a chance to fire holy tears, which will create a damaging light beam in the area if they hit an enemy.",3
Host Hat,5.100.375,Blast resistance,A host familiar that sits on Isaac's head and has a random chance to block enemy shots and retaliate with 3 tears. Grants immunity to explosions.,3
Immaculate Conception,5.100.413,Feed them love,"Upon picking up a certain amount of health, spawn a permanent angelic familiar.",1
Incubus,5.100.360,Dark friend,"Spawns a demonic familiar that shoots tears identical to Isaac's in terms of damage, tears, and tear effects.",4
Key Bum,5.100.388,He wants your keys!,"Spawns a familiar that follows Isaac and collects   Keys for himself, giving random   Chests in return.",0
Kidney Stone,5.100.440,Matt's kidney stone,"Randomly while firing tears, Isaac will stop firing and turn red, where he will charge and release a lot of 'tears' in one go. The burst of tears also includes a kidney stone, which deals a lot of damage.",2
Lil Chest,5.100.362,What's in the box?,Spawns a chest familiar that spawns a random pickup (25% chance) or trinket (10% chance) upon clearing a room.,2
Lil Gurdy,5.100.384,A gurd of your own!,"A   Gurdy Jr. familiar that charges up while Isaac is firing, bouncing around the room when released and dealing contact damage based on its speed.",2
Lil Loki,5.100.435,4-way buddy!,Spawns a Loki familiar that follows Isaac and fires 4 tears in a cross pattern.,1
Lost Fly,5.100.365,Lost protector,"Spawns fly familiar that moves in a straight line and circles around the first wall or obstacle it hits, dealing 105 damage per second on contact. Spawns fly familiar that moves in a straight line and circles around the first wall or obstacle it hits, dealing 56 damage per second and forcing nearby enemies to attack it.",2
Lusty Blood,5.100.411,Their blood brings rage!,Isaac's damage increases for the current room each time he kills an enemy.,3
Marked,5.100.394,Directed tears,"Isaac will automatically fire tears directed at a red target on the ground. The target can be moved with tear controls. +0.7 tears, increases range.",1
Maw of the Void,5.100.399,Consume thy enemy!,"Charged by firing for 2.5 seconds and when released, creates a black ring around Isaac that rapidly deals damage.  +1 damage, the ring can cause enemies to drop  Black Hearts.",3
Milk!,5.100.436,Don't cry over it...,"Spawns a glass familiar that spills on the floor upon taking damage.  After the milk spills, Isaac's tear delay is decreased by 2 for the current room.  After the milk spills, Isaac's fire rate is increased by 1 for the current room.",1
Mom's Pearls,5.100.355,Range + luck up,"+1.25 range, +0.5 tear falling speed, +1 luck. +2.5 range, +1 luck. Grants one   Soul Heart.",2
More Options,5.100.414,There's options,Two item pedestels are presented in every  Treasure Room. Only one can be taken; the other will disappear.,3
Mr. Dolly,5.100.370,Range + tears up,"+0.7 tears, +5.25 range, +0.5 tear falling speed, Spawns a combination of 3   Red Hearts,   Soul Hearts or   Black Hearts on the floor when picked up. +0.7 tears, +2.5 range, spawns 3 random types of   Hearts on the floor when picked up.",3
Multidimensional Baby,5.100.431,ydduB Buddy,Spawns a familiar that will follow Isaac's movements on a 2.5-second delay. Tears that pass through the baby will be doubled and increase in speed.,2
My Shadow,5.100.433,Me! And my shaaaadow!,Inflicts fear on all enemies in the room upon taking damage and spawns black friendly  Chargers that attack enemies.Spawns a shadow familiar that closely follows behind Isaac. It spawns a black friendly  Charger whenever an enemy touches it.,2
Night Light,5.100.425,Scared of the dark?,A cone of light shines in the direction Isaac is moving that slows enemies and enemy shots.,1
Number Two,5.100.378,Uh oh...,"Continuously firing tears for three seconds causes Isaac to drop a Butt Bomb, which damages and confuses all enemies in the room when it explodes.",2
Obsessed Fan,5.100.426,Follows my every move...,Spawns a familiar that follows Isaac's movements on a delay and deals 30 contact damage per second to enemies.,0
Papa Fly,5.100.430,Turret follower,"Spawns a familiar that follows Isaac's movements on a 3 second delay, firing tears at nearby enemies.",1
Pay to Play,5.100.380,Money talks,"+5   Coins. Most doors require one   Penny to open instead of a   Key. +5   Coins. All locked doors,   Locked Chests, and Key Blocks must be opened with one   Penny instead of   Keys.",2
PJs,5.100.428,You feel cozy,Grants 4   Soul Hearts and fully restores Isaac's health.,2
Pupula Duplex,5.100.379,Wide shot,"Gives Isaac spectral tears and gives his tears a wide arc shape, increasing their size.",2
Purity,5.100.407,Aura stat boost,"Boosts one of Isaac's stats depending on the color of the aura around him. The aura disappears upon taking damage and reappears with a random color upon entering a new room. Red boosts damage, blue boosts tears, yellow boosts speed, and orange boosts range.",3
Restock,5.100.376,Never ending stores!,"Causes  Shops to instantly restock their items when they are bought.  Outside of Greed Mode, the restocked item's cost is increased after each purchase.",2
Rune Bag,5.100.389,Rune generator,Spawns a familiar that drops a random rune after clearing enough rooms.,3
Sack Head,5.100.424,More sacks!,"Coins,   Bombs,   Keys, cards, runes and batteries have a chance to become   Grab Bags.",3
Scatter Bombs,5.100.366,We put bombs in your bombs!,+5   Bombs. Isaac's bombs explode into 2-4 tiny bombs.,1
Seraphim,5.100.390,Sworn friend,Spawns an angel familiar who follows Isaac and fires homing tears which deal 10 damage and have 75% shot speed.,3
Serpent's Kiss,5.100.393,The kiss of death,Tears have a chance to apply a poison effect to enemies. Isaac poisons enemies on contact. Poisoned enemies have a chance to drop a   Black Heart when killed.,2
Spear of Destiny,5.100.400,Your destiny,"In addition to tears, Isaac holds a spear in front of him which deals contact damage equal to 2x his tear damage, and occasionally inflicts fear.",2
Spider Mod,5.100.403,Mod buddy!,Displays Isaac's tear damage and enemy health bars. Spawns a familiar that wanders around and inflicts random status effects on enemies it touches. Can spawn a   Lil' Battery/Blue spider upon clearing a room.,1
Sticky Bombs,5.100.367,Egg sack bombs!,+5   Bombs. Bombs stick to enemies and spawn 2-4 Blue Spiders if they kill an enemy.  They also leave a long-lasting puddle of slowing white creep.,2
Succubus,5.100.417,Damage booster,"Spawns a flying familiar that bounces around the room with a black aura, dealing rapid damage to any enemies inside it. While standing in the aura, Isaac gains a 1.5x tear damage multiplier.",3
Sworn Protector,5.100.363,Protective friend,"Spawns an orbital familiar which does 105 damage per second and attracts and blocks enemy shots. Upon blocking 10 shots in a room, it drops an   Eternal Heart.",3
Tech X,5.100.395,Laser ring tears,Tears are replaced with laser rings that pierce through enemies and deal damage to enemies within them. Can be charged to increase the effectiveness of the ring.,4
The Wiz,5.100.358,Double wiz shot!,"Grants spectral tears. Tears simultaneously fire out of both eyes diagonally, similar to the effect of the R U a Wizard? pill.",0
Toxic Shock,5.100.350,Mass poison,"Upon entering a room, poisons all enemies, dealing double Isaac's tear damage. Killing enemies leaves a small, short-lasting pool of green creep on the ground.",3
Tractor Beam,5.100.397,Controlled tears,"Isaac emits a beam from his face that his tears are bound to.  Increases Tears, Range, and Shot Speed.  Increases Fire Rate, Range, and Shot Speed.",3
Zodiac,5.100.392,The heavens will change you,Gives Isaac a random zodiac item effect that changes every floor.,1
7 Seals,5.100.526,Lil harbingers!,Spawns a random Harbinger familiar that changes every 10 seconds. Harbingers have different behaviors and spawn themed Locusts.,2
Acid Baby,5.100.491,Pills pills pills!,"Spawns a familiar that drops a random pill every 3 rooms. Upon using a pill, all enemies in the room are poisoned.",2
Adrenaline,5.100.493,Panic = power,Increases damage based on how many empty Red Heart containers Isaac has.,2
Analog Stick,5.100.465,360 tears!,+0.35 tears up. Allows Isaac to fire tears diagonally.,2
Angelic Prism,5.100.528,Eclipsed by the moon,Spawns an orbital familiar with a large orbital radius. Tears that pass through the prism split into four multi-colored tears.,3
Angry Fly,5.100.511,He's violent,Spawns a fly familiar that orbits around a random enemy and deals 30 damage per second to enemies it comes in contact with.,1
Apple!,5.100.443,Trick or treat?,+0.3 tears. Adds a chance to fire a razor blade that deals 4x Isaac's damage.,3
Backstabber,5.100.506,Watch your back!,Isaac's tears deal double damage and inflict bleeding on enemies if they're facing away from Isaac.,3
Belly Button,5.100.458,What's in there?,Drops a random trinket. Grants a second trinket slot.,2
Big Chubby,5.100.473,Chub chub,"Spawns a familiar that follows Isaac and charges across the room when Isaac fires, blocking shots and dealing 40.5 damage per second on contact.",1
Blanket,5.100.535,You feel Safe,"Grants one   Soul Heart. Upon entering a boss room, grants a shield that blocks one hit, then disappears.",2
Bloodshot Eye,5.100.509,Bloody friend,Spawns an orbital  familiar that deals 30 damage per second and fires a randomly angled tear every 2 seconds.,1
Bozo,5.100.513,Party time!,"+0.1 flat damage, grants a   Soul Heart. Enemies can randomly become briefly charmed or feared. Taking damage has a chance to spawn a   Rainbow Poop.",2
Brittle Bones,5.100.549,Everything hurts,"Replaces all  Red Heart Containers with 6 empty  Bone Hearts.  Upon losing a Bone Heart, Isaac fires bones in 8 directions and permanently gains a tears up.  Upon losing a Bone Heart, Isaac fires bones in 8 directions and permanently gains a fire rate up.",3
Broken Modem,5.100.514,Lag!,"Enemies, enemy shots, tears, and pickups will briefly freeze in place at random intervals.",3
Broken Shovel,5.100.551,It feels cursed,One of two parts necessary to create Mom's Shovel. No effect if somehow obtained on its own.,4
Buddy in a Box,5.100.518,What could it be?!,Spawns a familiar with a random tear effect. The familiar is randomized at the start of each floor.,2
Camo Undies,5.100.497,Camo kid,"Isaac becomes camouflaged at the beginning of each room. Until he shoots, all non-boss enemies will be confused.  Isaac gains +0.5 Speed while camouflaged, and gains Tears and Damage upon breaking it.",3
Compound Fracture,5.100.453,Bone tears!,"Increases Range. Tears turn into bones, which shatter into 1-3 bone shards upon hitting an enemy or obstacle.",3
Cone Head,5.100.457,Hard headed!,Grants a   Soul Heart. Gives Isaac a chance to ignore any damage taken.,2
Contagion,5.100.466,Outbreak!,The first enemy killed in a room explodes and poisons nearby enemies. Poisoned enemies will also explode upon death.,2
Dad's Lost Coin,5.100.455,I remember this...,"+1.5 range, +1 tear falling speed. Drops a Lucky Penny.+2.5 range. Drops a Lucky Penny.",1
Dad's Ring,5.100.546,Father's blessing,Creates a ring of light around Isaac that petrifies enemies in contact.,3
Dark Prince's Crown,5.100.442,Loss is power,"When at exactly one   Red Heart, increases tears, range, tear falling speed, and shot speed. When at exactly one   Red Heart, increases fire rate, range, and shot speed.",1
Dead Tooth,5.100.446,Toxic breath,"While firing, Isaac gains a green aura that poisons nearby enemies.",1
Death's List,5.100.530,Just hope you're not next...,Grants a pickup or stat upgrade if all enemies in a room are killed in the order they are marked.,2
Depression,5.100.469,:(,Spawns a familiar that leaves a trail of creep that damages enemies at 6 damage per second. Has a chance to spawn damaging beams of light onto enemies that touch the cloud.,1
Divorce Papers,5.100.547,Tears up + you feel empty,"Grants one   Bone Heart, +0.7 tears, spawns a  Mysterious Paper.",3
Dog Tooth,5.100.445,Bark at the moon!,"+0.3 damage, +0.1 speed. Plays a howl or bark sound when entering a room with undiscovered  Secret Rooms or  Crawl Spaces.",2
Duality,5.100.498,You feel very balanced,"Whenever a  Devil Room or  Angel Room would spawn after defeating a boss, both rooms spawn. Only one can be entered.",1
Eucharist,5.100.499,Peace be with you,"An  Angel Room door will always spawn after every boss fight, excluding the first floor and floors after  Womb II/ Utero II/ Scarred Womb II.",3
Euthanasia,5.100.496,Needle shot,"Adds a chance to fire needles that instantly kill basic enemies and deal triple damage to bosses. If a needle kills an enemy, it bursts into more tears/needles.",3
Eye of Belial,5.100.462,Possessed tears!,"Grants piercing tears. After piercing one enemy, tears start homing and deal double damage.",3
Eye of Greed,5.100.450,Gold tears!,"Every 20 tears, Isaac loses 1  Penny and shoots an additional gold tear that petrifies enemies and turns them into gold. Any enemy killed while in this state will drop coins.",2
Fast Bombs,5.100.517,Rapid bomb drops,"+7   Bombs. Removes the delay between bomb placements, allowing them to be placed rapidly.  Bombs will no longer knock each other away.",1
Finger!,5.100.467,Watch where you point that!,"Spawns a finger familiar that points at enemies, dealing scaling damage.",1
Flat Stone,5.100.540,Skipping tears,"Tears bounce off the floor, creating splashes. Splashes deal 25% of Isaac's tear damage to all enemies in a small area.",2
Ghost Pepper,5.100.495,Flame tears,Gives a chance to shoot fires alongside tears that block enemy shots and deal damage to enemies that touch them.Gives a chance to shoot blue fires alongside tears that become smaller as they travel.,3
Glaucoma,5.100.460,Blind tears!,Adds a chance to shoot tears that confuse enemies for an extremely long time.,1
Glyph of Balance,5.100.464,A gift from above,Grants 2   Soul Hearts and modifies drops from Champion monsters based on certain conditions.  Also modifies room clear drops.,2
Greed's Gullet,5.100.501,Money = health!,Grants a Red Heart container for every 25   Coins Isaac has.,1
Haemolacria,5.100.531,I'm seeing red...,"Tears are now fired in an arc. Upon hitting the floor, an obstacle, or an enemy, they burst into many smaller tears in all directions. Increases tear delay.",4
Hallowed Ground,5.100.543,Portable sanctuary,"Spawns a white poop familiar, which turns into a   White Poop when Isaac is hurt. White poop has an aura that increases tear fire rate and can block enemy shots.  The aura also increases damage by 20% and gives homing.",1
Hushy,5.100.470,Lil hush!,"Spawns a   Hush familiar that bounces diagonally around the room and deals contact damage. While firing tears, it stops moving.",0
Jacob's Ladder,5.100.494,Electric tears,Tears fire sparks of electricity in random directions upon hitting an obstacle or enemy.,3
Jaw Bone,5.100.548,Fetch!,"Spawns a familiar that flies through the room while firing, dealing a flat 7 contact damage to enemies and retrieving pickups.",1
Jumper Cables,5.100.520,Bloody recharge,Grants an active item charge every 15 enemies killed.,3
King Baby,5.100.472,Hail to the king baby,"Spawns a familiar that follows Isaac and makes other familiars follow it. While firing tears, other familiars stop moving.",1
Lachryphagy,5.100.532,Feed them!,"Isaac's tears decelerate as they travel. Upon stopping or hitting an obstacle, they burst into 8 tears in all directions. Tears can be fired into other tears to feed them, increasing their damage.",2
Large Zit,5.100.502,Creep shots,Adds a chance to fire a creep shot that deals double damage and leaves a trail of slowing white creep.,1
Lead Pencil,5.100.444,He's a bleeder!,"After every 15 tears fired, Isaac will fire a high-damage cluster of tears.",3
Leprosy,5.100.525,You're tearing me apart!,"Upon taking damage, grants a body part as an orbital, which blocks enemy shots and deals 7 damage per tick to enemies it comes in contact with. The orbitals will be destroyed if they take enough damage from enemies or enemy shots.",1
Lil Delirium,5.100.519,Delirious friend,Grants a familiar that transforms into another random familiar every 10 seconds.,2
Lil Monstro,5.100.471,Ain't he cute?,Spawns a familiar that fires clusters of tears. Must be charged before shooting.,2
Lil Spewer,5.100.537,Puking buddy,"Drops a random pill, and spawns a familiar that charges up and fires creep. Using pills changes the creep type.",1
Linger Bean,5.100.447,Crying makes me toot,Constantly shooting causes Isaac to release gas clouds that can be pushed by his tears and damage nearby enemies.,0
Little Horn,5.100.503,Big brother is watching,"Adds a chance to fire a piercing tear that instantly kills any enemy that it touches. Adds a chance to fire a tear that summons Big Horn's hand to crush the first enemy it hits, instantly killing monsters or greatly damaging bosses.",3
Marbles,5.100.538,Choking hazard,"Spawns 3 random trinkets, 5% chance to swallow held trinket after taking damage, gaining its effect permanently.",2
Marrow,5.100.541,HP up?,Grants one   Bone Heart and spawns three   Red Hearts.,1
Metal Plate,5.100.449,It itches...,Grants one   Soul Heart. Enemy shots have a chance to be reflected at the shooter as confusing tears.,1
Midnight Snack,5.100.456,HP up,Grants one full Red Heart container.  Heals 1 additional   Red Heart.,1
Mom's Razor,5.100.508,It's sharp!,"Spawns an orbiting razor that deals contact damage and inflicts bleeding on enemies, causing them to slowly take damage over time.",2
Mystery Egg,5.100.539,Sacrificial insemination,"Spawns an egg familiar, which cracks into a random friendly monster when Isaac is hurt. The egg regenerates upon entering a different room.",1
Parasitoid,5.100.461,Egg tears!,Adds a chance to fire an egg sack which creates slowing creep and spawns a Blue Fly or Blue Spider upon hitting an enemy.,3
Pointy Rib,5.100.544,Stabbing time,"Spawns a bone familiar that hovers back and forth in front of Isaac, dealing damage equal to Isaac's damage.",2
Poke Go,5.100.505,Gotta catch em...,"Upon entering a room with enemies in it, has a chance to spawn a random friendly enemy that persists across rooms.",2
Polydactyly,5.100.454,Hold me!,"Allows Isaac to carry two cards, pills, or any combination of both. Spawns one random card, rune, or pill.",2
Pop!,5.100.529,Eyeball tears!,"Replaces Isaac's tears with eyeballs that can bounce off of each other. The eyeballs are not limited by range, and will instead dissipate when they stop moving or when hitting an enemy or obstacle.",1
Sack of Sacks,5.100.500,Gives sacks,Spawns a familiar that drops a   Grab Bag every 5-6 rooms cleared.,3
Schoolbag,5.100.534,Extra active item room,Allows Isaac to hold two active items.,3
Shade,5.100.468,It follows,"Spawns a shadow familiar that follows Isaac's movements on a 1 second delay and deals contact damage to enemies. After dealing enough damage, it is absorbed by Isaac and spawns friendly  Chargers.",0
Shard of Glass,5.100.448,Blood and guts!,"Upon taking damage, Isaac has a chance to drop a full red heart, gain 5 range, and leave a trail of damaging red creep for the current room. Taking damage causes Isaac to bleed, spraying a volley of blood in the direction he fires. Bleeding will eventually damage him, but it can be stopped by picking up a  Red Heart.",1
Sinus Infection,5.100.459,Booger tears!,Adds a chance to fire a booger that sticks to enemies and deals damage over time.,3
Slipped Rib,5.100.542,Projectile shield,Spawns a bone familiar that circles around Isaac and reflects enemy shots.,2
Sulfuric Acid,5.100.463,Acid tears!,+0.3 damage. Adds a chance to fire acidic tears which can destroy obstacles.,2
Tarot Cloth,5.100.451,I see the future,Drops a random card or rune.  Doubles the effects of most cards and runes.  Doubles the effects of tarot cards.,2
Technology Zero,5.100.524,Static tears!,Connects Isaac's tears with electricity that can damage enemies.,3
Trisagion,5.100.533,Smite thy enemy,Tears are replaced with piercing white blasts of light that can damage the same enemy multiple times.,3
Varicose Veins,5.100.452,I'm leaking...,Taking damage releases a ring of 10 high damage tears.,1
YO LISTEN!,5.100.492,Yo listen!,"+1 luck. Spawns a fairy familiar that points out  Secret Rooms,  Crawl Space entrances, and tinted rocks.",2
120 Volt,5.100.559,Zap!,Repeatedly zaps enemies that are close to Isaac.,2
2Spooky,5.100.554,4me,Enemies near Isaac are afflicted with fear.,1
4.5 Volt,5.100.647,Beat the juice out of them!,"Active items don't charge when clearing rooms. Instead, they're charged by dealing damage to enemies.",2
A Bar of Soap,5.100.564,Tears + shot speed up,Gives Isaac +0.5 Tears and +0.2 Shot Speed.,3
A Pound of Flesh,5.100.672,Blood money,"Devil deals now cost   Coins,  Shop items now cost health, and consumables in shops are free but surrounded by spikes.",1
Act of Contrition,5.100.601,"Tears up, you feel forgiven",Increases tears and grants an   Eternal Heart. Allows  Angel Rooms to appear even if a Devil Deal has been taken before. Reduces the Devil/Angel room chance penalty for taking Red heart damage.,3
Akeldama,5.100.641,Spill your guts,"While in an uncleared room, Isaac forms a trail of bloody tears that drags behind him, bursting and dealing damage upon contact with enemies.",2
Almond Milk,5.100.561,DMG down + tears up + you feel nutty,"Quadruples fire rate, with x0.3 damage multiplier. Tears are given random worm trinket effects.",1
Astral Projection,5.100.677,The true out-of-body experience!,"Causes Isaac to turn into a ghost if he gets hit while in an uncleared room, giving him flight and spectral tears and blocking the next hit he takes.",2
Azazel's Rage,5.100.699,Ancient power,"Isaac builds rage every time a room is cleared. After four rooms, fires a large Brimstone laser when entering the next room.",2
Battery Pack,5.100.603,Instant energy!,Recharges Isaac's currently held active item and drops 2-4 batteries.,0
Belly Jelly,5.100.690,Bounce away!,"Causes enemies to bounce off of Isaac, dealing damage to them if they hit an enemy or obstacle. Also gives Isaac the chance to deflect enemy shots.",3
Binge Eater,5.100.664,All you can eat,+1 Red Heart Container and fully heals Isaac. Item pedestals also offer a random food item. Picking up a food item temporarily grants +3.6 damage and permanently boosts 2 stats.,4
Bird Cage,5.100.610,Fat buddy,"The first time Isaac takes damage in a room, a familiar leaps on an enemy, dealing damage and releasing a rock wave. For the rest of the room, it chases enemies similar to  Dead Bird.",1
Bird's Eye,5.100.616,It burns,Gives a chance to shoot fires alongside tears that block enemy shots and deal damage to enemies that touch them.,3
Birthright,5.100.619,???,Grants a character-specific effect that enhances their special abilities.,3
Blood Bombs,5.100.614,Bloody blast + HP up,Grants a Red Heart container and restores 5 hearts. Bombs leave behind damaging red creep. Isaac can place   Bombs at the cost of half a heart if he doesn't have any.,2
Blood Oath,5.100.569,Bleed me dry,"Stabs Isaac at the beginning of each floor, draining his   Red Hearts. Increases damage and speed for the floor based on the amount drained.",1
Blood Puppy,5.100.565,What a cute little thing!,"Spawns a familiar that chases enemies. After killing enough enemies, it becomes more powerful but will also try to hurt Isaac. Attacking it returns it to normal.",1
Bloody Gust,5.100.695,May your rage bring haste,"The first 6 times Isaac takes damage on a given floor, he gains Speed and Fire Rate for the rest of the floor, up to a maximum of +1.02 and +3.00, respectively.",2
Boiled Baby,5.100.607,Messy friend,Gives Isaac a familiar that fires chaotic bursts of tears in all directions.,1
Bone Spurs,5.100.683,Break your enemies,"Enemies spawn floating bones on death, which block shots and damage/repel enemies that touch them.",2
Booster Pack,5.100.624,Collect them all!,Drops 5 random cards.,1
Bot Fly,5.100.629,Defense drone,Spawns an orbiting fly familiar that fires shielded tears at incoming enemy projectiles.,3
Brimstone Bombs,5.100.646,Demon blast +5 bombs,+5   Bombs. Bombs fire four  Brimstone lasers in the cardinal directions upon exploding.,2
C Section,5.100.678,Fetus shots,Replaces tears with fetuses that chase down enemies and deal contact damage. Each shot requires a brief charge up.,4
Candy Heart,5.100.671,Power of love,Gives Isaac a permanent stat boost whenever he heals with   Red Heart pickups.,1
Card Reading,5.100.660,A link to your future,"Spawns two portals at the beginning of each floor that each lead to either the  Boss Room,  Treasure Room, or  Secret Room.",3
Consolation Prize,5.100.644,+1 to lowest stat,"Increases Isaac's lowest stat and drops either 3   Coins, 1   Bomb, or 1   Key depending on what Isaac has the least of.",1
Cracked Orb,5.100.675,Shards of knowledge,Unlocks doors and reveals a random room on the map when Isaac takes damage.,1
